text,label
0'or+@<@.%0b||+%7e%0b{a+1}=1>(!+{x%0b(select+1)}=1)%0bor',1
0%27||+!@<@%0b||+{a+1}=1>(not%7e0)%0bor%27,1
1%0bor%0bnot+0=%0b(%7e+{a%0b1}=1)%23,1
0%27||+1<@%0b||+~+1=+(not%0b0)+or%27,1
8'%0bor%0b!+{x+(select+1)}=1=+(not+{x%0b(select+1)}=1)%0b||'0,1
0'||+@<@.+or%0b!+0=%0b(~+{`if`+1}=1)%0b||',1
0'||%0b!@<@%0b||%0b~+true>(not+{x+(select+1)}=1)+or',0
6+or%0b!%0b1<({x%0b(select+1)}=1)--+,0
0%27or+1<@.+||+%7e+{`if`+1}=1=+(not+false)+or%27,1
0%27or+!@<@+||%0b!+{x+(select%0b1)}=1=%0b(not%0b{x%0b(select%0b1)}=1)%0b||%27,0
0'or%0b@<@+||+~%0b{x%0b(select+1)}=1>(not%7e0)%0bor',0
9%27+||%0b%7e%0btrue-(not%0b{x%0b(select+1)}=1)%0bor%270,1
3'%0b||+%7e%0bfalse>(!%0b{x+(select+1)}=1)%0b||'0,0
2'%0bor+%7e%0bfalse>(!%0b1)+||'0,0
3+||+!~0<(%7e+{x+(select+1)}=1)+,0
0%27or%0b1<@.%0bor%0b%7e+{`if`%0b1}=1=+(1)+or%27,1
0%27||+!@<@.%0bor%0b%7e+{`if`+1}=1-(not+1)+||%27,1
0%27or+1<@+||+!+{`if`+1}=1<(~%0b{a+1}=1)+or%27,1
0'or%0b@<@.%0b||+!+1%3C(%7e%0btrue)%0bor',1
0+||%0b!+0-(!+{x%0b(select%0b1)}=1)--%0b,1
0%27||+1<@.+or+~%0b{a+1}=1-(!+true)+or%27,1
0'or+@<@.%0bor%0b!+0-(!+{`if`+1}=1)%0b||',1
0%27<@!=1+or+not%0btrue=+(not%0b{x+(select%0b1)}=1)+or%27,1
9'+or+not%0btrue=+(!~false)%0bor'0,1
0%27or+1<@+||%0bnot%0b{x+(select+1)}=1=+(not+{x%0b(select%0b1)}=1)+||%27,1
1%27+or+~+true=%0b(~%0b{`if`+1}=1)+or%270,1
1%0bor%0b%7e+{a+1}=1=+(~+{x%0b(select%0b1)}=1)--%0b,1
0%27<@=1.+or+not%0b{x%0b(select%0b1)}=1%3C(%7e%0b1)+or%27,1
0'or+@<@+||%0b%7e+1=%0b(~+true)+or',1
5%27%0b||%0bnot%7efalse%3C(~+{x%0b(select%0b1)}=1)%0b||%270,0
8+||+not%0b{x+(select%0b1)}=1<(~+false)--+,0
5%0b||%0bnot%0b{x%0b(select+1)}=1=+(!+true)--%0b,1
2'+or%0b!+{x+(select+1)}=1=%0b(not%0b{`if`%0b1}=1)%0b||'0,0
4%0b||+not+{x%0b(select+1)}=1%3C(~+{x%0b(select%0b1)}=1)%23,0
0'<@!=.1+||%0b!%0b{a%0b1}=1%3C(~%0b{x+(select+1)}=1)%0b||',0
0%27||+!@<@+||%0b~%0b{`if`+1}=1=%0b(~%0b0)%0bor%27,1
7%27%0b||+{a+1}=1-(not+{x%0b(select%0b1)}=1)+||%270,0
0%27or%0b1<@.+||+~%0b1-(not%0b{a+1}=1)%0bor%27,1
3'%0b||+%7e%0b{x%0b(select%0b1)}=1-(!%0b{x%0b(select%0b1)}=1)%0b||'0,1
0%27or+!@<@%0bor%0b{`if`%0b1}=1=+(~%0b1)%0bor%27,1
0%27||%0b1<@.%0bor%0bnot%0bfalse=%0b(~%0b{`if`%0b1}=1)%0bor%27,1
3%27+or%0b{x+(select+1)}=1%0blike+{x+(select+1)}=1%0b||%270,0
0%27or%0b!@<@.%0bor%0b!+{x%0b(select%0b1)}=1%3C(~%0b{a%0b1}=1)+||%27,1
5%27+||%0bnot+{x+(select%0b1)}=1=+(not%0b{x%0b(select%0b1)}=1)+||%270,0
0%27<@=1.+||+~%0b{x%0b(select+1)}=1>(not%7e0)--%0b,1
0%27or+1<@%0b||%0b%7e+{`if`+1}=1=%0b(~+1)+or%27,1
3%27%0bor+!~false%3C(~+0)+||%270,0
0'or+!@<@.+or+!%0b{x+(select+1)}=1<(%7e+{x+(select%0b1)}=1)+||',1
0'<@=1+or%0bnot%0b{`if`+1}=1%3C(~%0b1)%0b||',1
0%27or%0b1<@.%0bor%0b%7e+{x%0b(select%0b1)}=1=%0b(%7e+{a+1}=1)%0bor%27,1
0%27<@=1.+or%0b%7e+{x%0b(select%0b1)}=1=%0b(~+{x%0b(select%0b1)}=1)+or%27,1
0'<@=1.%0bor+%7e+1-(!%0b{x+(select+1)}=1)--%0b,1
0%27||+@<@.+or+%7e%0b{x+(select+1)}=1>(!%0btrue)%0bor%27,1
7'%0bor+~+{x+(select+1)}=1>(!%0b{a%0b1}=1)%0bor'0,0
4%27+||%0b!%0b{x%0b(select+1)}=1=%0b(!%0b{`if`+1}=1)+||%270,1
0'or%0b@<@+||%0b~+{x+(select%0b1)}=1-(not+1)%0bor',1
0'||+!@<@%0bor+~%0b{a+1}=1>(!+{`if`%0b1}=1)%0b||',0
0'or%0b!@<@+or+~%0b{x+(select%0b1)}=1=%0b(%7e+{x+(select+1)}=1)%0b||',1
9%27+||%0b~+1-(not+{x%0b(select%0b1)}=1)+||%270,1
0%27%0bor+%7e+0>(not+{`if`%0b1}=1)+or%270,0
4+or+not%0b0=+(~+{`if`+1}=1)%0b,1
8'+||+!%0b{`if`%0b1}=1<(~+{x%0b(select+1)}=1)%0bor'0,1
0%27||+@<@.+||+%7e%0b1=+(~%0b{x%0b(select%0b1)}=1)%0bor%27,1
